============================================================
Mini I-JEPA Training
============================================================
Device      : cuda
Epochs      : 100
Batch size  : 32
Embed dim   : 192
Num patches : 196
============================================================
Total params     : 11,517,888
Trainable params : 6,000,768
Frozen params    : 5,517,120  (target encoder)
============================================================
Building dataloader...
Dataset size : 100,000 images
Batches/epoch: 3,125
============================================================
Starting training for 100 epochs on cuda
Trainable params: 6,000,768
      epoch 002 batch 2800/3125 loss=0.2200 lr=0.000020
      epoch 002 batch 2850/3125 loss=0.2235 lr=0.000020
      epoch 002 batch 2900/3125 loss=0.1866 lr=0.000020
      epoch 002 batch 2950/3125 loss=0.2099 lr=0.000020
      epoch 002 batch 3000/3125 loss=0.2089 lr=0.000020
      epoch 002 batch 3050/3125 loss=0.2138 lr=0.000020
      epoch 002 batch 3100/3125 loss=0.2780 lr=0.000020
      [CheckpointSaver] Saved best model at epoch 2 (loss=0.2169) -> checkpoints/best_model.pth
  -> Epoch 002 | loss=0.2169
      epoch 003 batch 0000/3125 loss=0.2001 lr=0.000030
      epoch 003 batch 0050/3125 loss=0.2467 lr=0.000030
      epoch 003 batch 0100/3125 loss=0.2316 lr=0.000030
      epoch 003 batch 0150/3125 loss=0.2187 lr=0.000030
      epoch 003 batch 0200/3125 loss=0.2316 lr=0.000030
      epoch 003 batch 0250/3125 loss=0.2273 lr=0.000030
      epoch 003 batch 0300/3125 loss=0.2452 lr=0.000030
      epoch 003 batch 0350/3125 loss=0.2618 lr=0.000030
      epoch 003 batch 0400/3125 loss=0.2464 lr=0.000030
      epoch 003 batch 0450/3125 loss=0.2040 lr=0.000030
      epoch 003 batch 0500/3125 loss=0.2292 lr=0.000030
      epoch 003 batch 0550/3125 loss=0.2404 lr=0.000030
      epoch 003 batch 0600/3125 loss=0.2140 lr=0.000030
      epoch 003 batch 0650/3125 loss=0.2863 lr=0.000030
      epoch 003 batch 0700/3125 loss=0.2163 lr=0.000030
      epoch 003 batch 0750/3125 loss=0.2249 lr=0.000030
      epoch 003 batch 0800/3125 loss=0.2529 lr=0.000030
      epoch 003 batch 0850/3125 loss=0.2367 lr=0.000030
      epoch 003 batch 0900/3125 loss=0.2356 lr=0.000030
      epoch 003 batch 0950/3125 loss=0.2556 lr=0.000030
      epoch 003 batch 1000/3125 loss=0.2424 lr=0.000030
      epoch 003 batch 1050/3125 loss=0.2203 lr=0.000030
      epoch 003 batch 1100/3125 loss=0.2921 lr=0.000030
      epoch 003 batch 1150/3125 loss=0.2120 lr=0.000030
      epoch 003 batch 1200/3125 loss=0.2760 lr=0.000030
      epoch 003 batch 1250/3125 loss=0.2963 lr=0.000030
      epoch 003 batch 1300/3125 loss=0.3058 lr=0.000030
      epoch 003 batch 1350/3125 loss=0.3041 lr=0.000030
      epoch 003 batch 1400/3125 loss=0.2618 lr=0.000030
      epoch 003 batch 1450/3125 loss=0.2779 lr=0.000030
      epoch 003 batch 1500/3125 loss=0.2643 lr=0.000030
      epoch 003 batch 1550/3125 loss=0.2477 lr=0.000030
      epoch 003 batch 1600/3125 loss=0.2472 lr=0.000030
      epoch 003 batch 1650/3125 loss=0.2494 lr=0.000030
      epoch 003 batch 1700/3125 loss=0.2801 lr=0.000030
      epoch 003 batch 1750/3125 loss=0.2783 lr=0.000030
      epoch 003 batch 1800/3125 loss=0.2871 lr=0.000030
      epoch 003 batch 1850/3125 loss=0.2958 lr=0.000030
      epoch 003 batch 1900/3125 loss=0.3127 lr=0.000030
      epoch 003 batch 1950/3125 loss=0.2344 lr=0.000030
      epoch 003 batch 2000/3125 loss=0.2919 lr=0.000030
      epoch 003 batch 2050/3125 loss=0.2524 lr=0.000030
      epoch 003 batch 2100/3125 loss=0.2670 lr=0.000030
      epoch 003 batch 2150/3125 loss=0.2599 lr=0.000030
      epoch 003 batch 2200/3125 loss=0.2539 lr=0.000030
      epoch 003 batch 2250/3125 loss=0.2251 lr=0.000030
      epoch 003 batch 2300/3125 loss=0.2229 lr=0.000030
      epoch 003 batch 2350/3125 loss=0.2970 lr=0.000030
      epoch 003 batch 2400/3125 loss=0.2883 lr=0.000030
      epoch 003 batch 2450/3125 loss=0.3026 lr=0.000030
      epoch 003 batch 2500/3125 loss=0.2632 lr=0.000030
      epoch 003 batch 2550/3125 loss=0.2690 lr=0.000030
      epoch 003 batch 2600/3125 loss=0.2758 lr=0.000030
      epoch 003 batch 2650/3125 loss=0.2630 lr=0.000030
      epoch 003 batch 2700/3125 loss=0.2637 lr=0.000030
      epoch 003 batch 2750/3125 loss=0.3069 lr=0.000030
      epoch 003 batch 2800/3125 loss=0.2811 lr=0.000030
      epoch 003 batch 2850/3125 loss=0.2656 lr=0.000030
      epoch 003 batch 2900/3125 loss=0.3281 lr=0.000030
      epoch 003 batch 2950/3125 loss=0.2356 lr=0.000030
      epoch 003 batch 3000/3125 loss=0.2732 lr=0.000030
      epoch 003 batch 3050/3125 loss=0.2960 lr=0.000030
      epoch 003 batch 3100/3125 loss=0.2408 lr=0.000030
  -> Epoch 003 | loss=0.2535
      epoch 004 batch 0000/3125 loss=0.2797 lr=0.000040
      epoch 004 batch 0050/3125 loss=0.2345 lr=0.000040
      epoch 004 batch 0100/3125 loss=0.2771 lr=0.000040
      epoch 004 batch 0150/3125 loss=0.3056 lr=0.000040
      epoch 004 batch 0200/3125 loss=0.2792 lr=0.000040
      epoch 004 batch 0250/3125 loss=0.2527 lr=0.000040
      epoch 004 batch 0300/3125 loss=0.2444 lr=0.000040
      epoch 004 batch 0350/3125 loss=0.2888 lr=0.000040
      epoch 004 batch 0400/3125 loss=0.3011 lr=0.000040
      epoch 004 batch 0450/3125 loss=0.2583 lr=0.000040
      epoch 004 batch 0500/3125 loss=0.2706 lr=0.000040
      epoch 004 batch 0550/3125 loss=0.2782 lr=0.000040
      epoch 004 batch 0600/3125 loss=0.2999 lr=0.000040
      epoch 004 batch 0650/3125 loss=0.2624 lr=0.000040
      epoch 004 batch 0700/3125 loss=0.2764 lr=0.000040
      epoch 004 batch 0750/3125 loss=0.3167 lr=0.000040
      epoch 004 batch 0800/3125 loss=0.2733 lr=0.000040
      epoch 004 batch 0850/3125 loss=0.2998 lr=0.000040
      epoch 004 batch 0900/3125 loss=0.2886 lr=0.000040
      epoch 004 batch 0950/3125 loss=0.3428 lr=0.000040
      epoch 004 batch 1000/3125 loss=0.2973 lr=0.000040
      epoch 004 batch 1050/3125 loss=0.2999 lr=0.000040
      epoch 004 batch 1100/3125 loss=0.2854 lr=0.000040
      epoch 004 batch 1150/3125 loss=0.3095 lr=0.000040
      epoch 004 batch 1200/3125 loss=0.3548 lr=0.000040
      epoch 004 batch 1250/3125 loss=0.2706 lr=0.000040
      epoch 004 batch 1300/3125 loss=0.2856 lr=0.000040
      epoch 004 batch 1350/3125 loss=0.3357 lr=0.000040
      epoch 004 batch 1400/3125 loss=0.3067 lr=0.000040
      epoch 004 batch 1450/3125 loss=0.3109 lr=0.000040
      epoch 004 batch 1500/3125 loss=0.3076 lr=0.000040
      epoch 004 batch 1550/3125 loss=0.3097 lr=0.000040
      epoch 004 batch 1600/3125 loss=0.3283 lr=0.000040
      epoch 004 batch 1650/3125 loss=0.2788 lr=0.000040
      epoch 004 batch 1700/3125 loss=0.3353 lr=0.000040
      epoch 004 batch 1750/3125 loss=0.2565 lr=0.000040
      epoch 004 batch 1800/3125 loss=0.3346 lr=0.000040
      epoch 004 batch 1850/3125 loss=0.2874 lr=0.000040
      epoch 004 batch 1900/3125 loss=0.3089 lr=0.000040
      epoch 004 batch 1950/3125 loss=0.3138 lr=0.000040
      epoch 004 batch 2000/3125 loss=0.2850 lr=0.000040
      epoch 004 batch 2050/3125 loss=0.3173 lr=0.000040
      epoch 004 batch 2100/3125 loss=0.3123 lr=0.000040
      epoch 004 batch 2150/3125 loss=0.2877 lr=0.000040
      epoch 004 batch 2200/3125 loss=0.3103 lr=0.000040
      epoch 004 batch 2250/3125 loss=0.3043 lr=0.000040
